Chamber#,ME-11,ME-12,ME-13,ME-21,ME-22,ME-31,ME-32,ME-41,ME-42
1,173.88,5.80,1.79,100.94,4.25,60.72,5.78,64.55,14.87
2,150.33,7.14,1.98,98.16,4.85,60.18,6.34,65.89,16.52
3,175.14,5.47,1.72,0.00,4.39,61.44,5.60,66.01,14.82
4,148.50,6.27,1.93,98.92,4.92,61.38,6.44,66.17,16.24
5,197.09,5.29,1.89,100.15,4.39,61.02,5.62, 64.49,14.30
6,157.23,6.37,1.93,96.21,4.86,59.29,6.35,63.97,17.03
7,174.99,5.22,2.08,101.08,4.50,60.37,6.27,64.65,17.57
8,151.09,6.18,2.05,97.95,4.89,60.24,7.17,75.44,20.82
9,173.50,5.29,2.15,99.90,4.51,60.77,6.63,65.17,20.25
10,149.11,6.45,2.35,97.47,5.22,59.71,7.60,66.68,23.18
11,173.13,5.24,2.06,98.86,4.49,59.76,6.58,64.07,20.20
12,151.77,6.16,1.99,95.21,4.66,58.49,6.80,63.66,20.43
13,178.77,5.34,2.14,99.61,4.36,60.86,6.20,65.32,17.42
14,159.70,6.62,2.04,97.42,5.16,60.33,6.44,67.69,16.77
15,176.47,5.38,1.98,101.29,4.85,61.9,5.72,66.91,14.12
16,150.93,6.45,2.00,98.07,4.85,61.42,6.50,67.13,16.67
17,174.33,5.60,1.73,99.24,4.35,60.46,5.76,64.78,15.17
18,152.81,6.97,1.60,95.91,4.68,58.88,6.17,63.85,16.48
19,178.13,5.86,1.72,,4.30,,5.80,,15.29
20,154.51,6.95,1.85,,4.62,,6.21,,16.69
21,177.61,5.68,1.43,,4.18,,5.45,,0.00
22,152.07,6.79,1.47,,4.78,,5.70,,13.68
23,175.67,5.36,1.31,,4.05,,4.49,,10.53
24,153.31,6.16,1.12,,4.05,,4.53,,10.20
25,176.16,5.24,1.07,,3.73,,4.24,,10.18
26,158.96,6.38,0.89,,4.17,,5.06,,13.21
27,182.68,5.09,0.70,,3.65,,4.55,,13.04
28,149.91,5.93,0.68,,3.82,,4.97,,14.21
29,178.84,5.08,0.70,,3.51,,4.49,,12.87
30,149.92,6.22,0.86,,4.03,,4.87,,13.75
31,176.71,5.09,1.03,,3.79,,4.31,,10.29
32,151.97,6.13,1.12,,4.26,,4.77,,10.50
33,206.00,5.35,1.29,,3.97,,4.56,,10.35
34,0.00,6.63,1.44,,4.84,,5.77,,13.45
35,0.00,5.38,1.32,,4.18,,5.44,,13.72
36,152.41,6.46,1.48,,4.46,,5.93,,15.92
