Chamber#,ME-11,ME-12,ME-13,ME-21,ME-22,ME-31,E-32,ME-41,ME-42
1,179.54,5.88,1.79,101.96,4.30,62.20,5.86,65.49,14.94
2,155.86,7.27,2.00,99.23,4.92,61.56,6.43,66.83,16.64
3,181.09,5.59,1.72,0.00,4.44,62.79,5.57,67.07,14.92
4,154.27,6.41,1.94,100.01,4.99,62.68,6.54,67.40,16.41
5,174.91,5.39,1.90,101.25,4.45,62.37,5.72,65.92,14.49
6,162.88,6.51,1.92,97.33,4.92,60.59,6.48,65.48,17.29
7,181.32,5.34,2.04,102.12,4.55,61.76,6.40,66.32,17.90
8,156.76,6.32,1.95,99.04,4.95,61.45,7.35,77.47,21.25
9,179.32,5.42,2.02,101.13,4.57,62.03,6.82,66.90,20.74
10,155.06,6.60,2.19,98.69,5.28,60.94,7.80,68.30,23.89
11,179.89,5.37,1.95,99.98,4.54,61.15,6.73,65.67,20.62
12,157.86,6.31,1.91,96.41,4.72,59.81,6.95,65.15,20.76
13,184.69,5.46,2.11,100.82,4.42,62.31,6.31,66.80,17.72
14,165.46,6.77,2.03,98.62,5.13,61.72,6.56,68.99,17.03
15,182.63,5.49,1.98,102.46,4.66,63.57,5.82,68.05,14.35
16,156.16,6.57,2.00,99.27,5.11,62.75,6.60,68.12,16.92
17,179.72,5.68,1.72,100.43,4.40,61.95,5.84,65.73,15.31
18,158.35,7.10,1.59,97.07,4.73,60.29,6.25,64.71,16.59
19,185.77,5.98,1.72,,4.35,,5.88,,15.40
20,160.03,7.08,1.85,,4.68,,6.31,,16.84
21,183.15,5.77,1.42,,4.24,,5.53,, 0.00
22,157.51,6.90,1.46,,4.85,,5.78,,13.78
23,139.45,5.44,1.29,,4.07,,4.55,,10.63
24,159.08,6.26,1.11,,4.10,,4.60,,10.33
25,182.89,5.33,1.05,,3.78,,4.31,,10.27
26,164.94,6.49,0.87,,4.23,,5.16,,13.49
27,190.19,5.18,0.68,,3.69,,4.66,,13.34
28,153.59,6.03,0.65,,3.89,,5.11,,14.55
29,184.81,5.15,0.68,,3.55,,4.59,,13.14
30,155.07,6.31,0.85,,4.09,,4.98,,14.05
31,183.31,5.15,1.02,,3.85,,4.39,,10.45
32,156.41,6.24,1.11,,4.21,,4.86,,10.65
33,201.01,5.46,1.29,,4.03,,4.63,,10.46
34,159.30,6.79,1.43,,4.92,,5.86,,13.56
35,186.13,5.49,1.31,,4.24,,5.52,,13.82
36,157.61,6.57,1.48,,4.52,,6.03,,15.98
