Chamber#,ME+11,ME+12,ME+13,ME+21,ME+22,ME+31,ME+32,ME+41,ME+42
1,168.12,5.81,1.82,99.64,4.24,63.25,6.03,65.24,15.62
2,158.89,7.17,2.07,97.91,4.86,63.47,6.61,67.01,17.01
3,183.42,5.44,1.87,101.39,4.42,65.57,6.05,66.82,15.65
4,159.93,6.37,2.17,99.06,5.17,64.89,6.93,68.83,17.42
5,181.48,5.48,2.18,99.51,4.50,64.07,6.22,66.75,15.19
6,163.01,6.76,2.30,95.98,5.13,62.74,7.01,66.01,18.69
7,182.57,5.45,2.59,101.03,4.87,63.98,6.99,67.34,19.53
8,155.99,6.43,2.55,97.91,5.36,63.64,8.16,68.44,22.79
9,179.71,5.45,2.71,101.92,4.94,63.97,7.61,67.44,22.99
10,155.12,6.57,2.92,98.98,5.93,63.66,8.77,68.84,26.74
11,180.15,5.38,2.54,99.86,4.92,63.45,7.56,66.57,23.46
12,155.54,6.38,2.40,96.94,5.05,61.88,7.78,65.15,22.58
13,183.11,5.44,2.60,100.36,4.66,63.88,6.94,66.44,19.77
14,164.23,6.67,2.39,97.23,5.27,63.49,7.12,68.58,17.79
15,183.30,5.42,2.24,101.78,4.59,64.89,6.18,67.72,14.54
16,157.82,6.45,2.20,98.88,5.17,63.91,7.02,67.68,17.13
17,167.42,5.57,1.84,100.26,4.44,62.73,6.13,65.22,15.48
18,157.69,7.08,1.64,95.58,4.71,61.29,6.47,64.64,16.42
19,186.00,5.89,1.72,,4.36,,6.12,,15.71
20,159.52,7.08,1.86,,4.66,,6.45,,16.93
21,186.15,5.75,1.40,,4.21,,5.67,,13.95
22,160.82,6.79,1.45,,4.90,,5.98,,13.88
23,183.09,5.43,1.26,,1.79,,4.64,,10.61
24,159.67,6.20,1.09,,3.98,,4.62,,10.26
25,184.13,5.25,1.05,,3.70,,4.41,,9.97
26,159.62,6.41,0.86,,4.20,,5.26,,13.60
27,193.79,5.18,0.68,,3.62,,4.72,,12.97
28,160.57,6.09,0.67,,3.78,,5.22,,14.54
29,186.45,5.29,0.67,,3.49,,4.72,,13.16
30,160.15,6.52,0.84,,3.98,,5.08,,13.19
31,185.45,5.28,1.00,,3.79,,4.41,,9.96
32,161.36,6.25,1.09,,4.26,,4.89,,10.24
33,168.00,5.40,1.26,,3.94,,4.65,,10.53
34,158.10,6.67,1.39,,4.88,,5.89,,13.44
35,186.95,5.41,1.28,,4.21,,5.54,,13.72
36,159.35,6.52,1.48,,4.46,,6.15,,16.11
