RE+1_R1_CH01_A ,  distance to beam line  = 223.988, distance to beam line max = 242.038, eta min = 1.58593, eta max = 1.73611, phi min = -0.0845468, phi max = 0.0845468 OK
RE+1_R1_CH01_B ,  distance to beam line  = 192.96, distance to beam line max = 204.96, eta min = 1.74069, eta max = 1.85856, phi min = -0.084546, phi max = 0.084546 OK
RE+1_R1_CH01_C ,  distance to beam line  = 170.069, distance to beam line max = 180.069, eta min = 1.86383, eta max = 1.97665, phi min = -0.0845493, phi max = 0.0845493 OK
RE+1_R1_CH01_D ,  distance to beam line  = 147.971, distance to beam line max = 158.971, eta min = 1.98269, eta max = 2.12678, phi min = -0.0845472, phi max = 0.0845472 OK
RE-1_R2_CH01_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.23524, eta max = -1.34109, phi min = 0.0846753, phi max = -0.0846753 OK
RE-1_R2_CH01_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.34323, eta max = -1.45687, phi min = 0.084694, phi max = -0.084694 OK
RE-1_R2_CH01_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.45939, eta max = -1.69033, phi min = 0.0847285, phi max = -0.0847285 OK
RE+1_R2_CH01_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.23524, eta max = 1.34109, phi min = -0.0846753, phi max = 0.0846753 OK
RE+1_R2_CH01_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.34323, eta max = 1.45687, phi min = -0.084694, phi max = 0.084694 OK
RE+1_R2_CH01_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.45939, eta max = 1.69033, phi min = -0.0847285, phi max = 0.0847285 OK
RE-1_R3_CH01_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.92056, eta max = -0.965453, phi min = 0.0845517, phi max = -0.0845517 OK
RE-1_R3_CH01_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.966618, eta max = -1.06346, phi min = 0.0845509, phi max = -0.0845509 OK
RE-1_R3_CH01_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06486, eta max = -1.14891, phi min = 0.0845504, phi max = -0.0845504 OK
RE+1_R3_CH01_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.92056, eta max = 0.965453, phi min = -0.0845517, phi max = 0.0845517 OK
RE+1_R3_CH01_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.966618, eta max = 1.06346, phi min = -0.0845509, phi max = 0.0845509 OK
RE+1_R3_CH01_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06486, eta max = 1.14891, phi min = -0.0845504, phi max = 0.0845504 OK
RE-1_R2_CH07_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.23524, eta max = -1.34109, phi min = 1.13187, phi max = 0.962522 OK
RE-1_R2_CH07_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.34323, eta max = -1.45687, phi min = 1.13189, phi max = 0.962503 OK
RE-1_R2_CH07_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.45939, eta max = -1.69033, phi min = 1.13193, phi max = 0.962469 OK
RE+1_R2_CH07_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.23524, eta max = 1.34109, phi min = 0.962522, phi max = 1.13187 OK
RE+1_R2_CH07_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.34323, eta max = 1.45687, phi min = 0.962503, phi max = 1.13189 OK
RE+1_R2_CH07_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.45939, eta max = 1.69033, phi min = 0.962469, phi max = 1.13193 OK
RE-1_R3_CH07_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.92056, eta max = -0.965453, phi min = 1.13175, phi max = 0.962646 OK
RE-1_R3_CH07_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.966619, eta max = -1.06346, phi min = 1.13175, phi max = 0.962647 OK
RE-1_R3_CH07_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06486, eta max = -1.14891, phi min = 1.13175, phi max = 0.962647 OK
